result,choices
123456,1,7
123457,1,6
123458,0,6
123459,0,6
123465,1,7
123467,1,5
123468,0,5
123469,0,5
123475,1,6
123476,1,5
123478,0,5
123479,0,5
123485,0,6
123486,0,5
123487,0,5
123489,0,5
123495,0,6
123496,0,5
123497,0,5
123498,0,5
123546,1,7
123547,1,6
123548,1,6
123549,1,6
123564,1,7
123567,1,4
123568,1,4
123569,1,4
123574,1,6
123576,1,4
123578,0,4
123579,0,4
123584,1,6
123586,1,4
123587,0,4
123589,0,4
123594,1,6
123596,1,4
123597,0,4
123598,0,4
123645,1,7
123647,0,5
123648,0,5
123649,1,5
123654,1,7
123657,0,4
123658,0,4
123659,1,4
123674,0,5
123675,0,4
123678,0,4
123679,0,4
123684,0,5
123685,0,4
123687,0,4
123689,0,4
123694,1,5
123695,1,4
123697,0,4
123698,0,4
123745,-1,6
123746,-1,5
123748,1,5
123749,1,5
123754,-1,6
123756,-1,4
123758,0,4
123759,0,4
123764,-1,5
123765,-1,4
123768,0,4
123769,0,4
123784,1,5
123785,0,4
123786,0,4
123789,1,4
123794,1,5
123795,0,4
123796,0,4
123798,1,4
123845,-1,6
123846,-1,5
123847,1,5
123849,1,5
123854,-1,6
123856,-1,4
123857,1,4
123859,1,4
123864,-1,5
123865,-1,4
123867,1,4
123869,1,4
123874,1,5
123875,1,4
123876,1,4
123879,1,4
123894,1,5
123895,1,4
123896,1,4
123897,1,4
123945,-1,6
123946,-1,5
123947,0,5
123948,0,5
123954,-1,6
123956,-1,4
123957,0,4
123958,0,4
123964,-1,5
123965,-1,4
123967,1,4
123968,1,4
123974,0,5
123975,0,4
123976,1,4
123978,1,4
123984,0,5
123985,0,4
123986,1,4
123987,1,4
124356,1,7
124357,1,6
124358,0,6
124359,0,6
124365,1,7
124367,1,5
124368,0,5
124369,0,5
124375,1,6
124376,1,5
124378,0,5
124379,0,5
124385,0,6
124386,0,5
124387,0,5
124389,0,5
124395,0,6
124396,0,5
124397,0,5
124398,0,5
124536,1,7
124537,1,6
124538,1,6
124539,1,6
124563,1,7
124567,1,3
124568,0,3
124569,0,3
124573,1,6
124576,1,3
124578,1,3
124579,1,3
124583,1,6
124586,0,3
124587,1,3
124589,0,3
124593,1,6
124596,0,3
124597,1,3
124598,0,3
124635,0,7
124637,0,5
124638,1,5
124639,1,5
124653,0,7
124657,0,3
124658,0,3
124659,0,3
124673,0,5
124675,0,3
124678,0,3
124679,0,3
124683,1,5
124685,0,3
124687,0,3
124689,1,3
124693,1,5
124695,0,3
124697,0,3
124698,1,3
124735,1,6
124736,0,5
124738,1,5
124739,0,5
124753,1,6
124756,0,3
124758,1,3
124759,0,3
124763,0,5
124765,0,3
124768,0,3
124769,0,3
124783,1,5
124785,1,3
124786,0,3
124789,0,3
124793,0,5
124795,0,3
124796,0,3
124798,0,3
124835,0,6
124836,0,5
124837,0,5
124839,0,5
124853,0,6
124856,0,3
124857,0,3
124859,0,3
124863,0,5
124865,0,3
124867,1,3
124869,1,3
124873,0,5
124875,0,3
124876,1,3
124879,1,3
124893,0,5
124895,0,3
124896,1,3
124897,1,3
124935,1,6
124936,1,5
124937,1,5
124938,1,5
124953,1,6
124956,1,3
124957,1,3
124958,1,3
124963,1,5
